Date,Open,High,Low,Close,Volume,Ticker
2015-01-02,24.746221847158793,24.757330444147875,23.8487017873135,24.288576126098633,212818400,AAPL
2015-01-05,24.057535347435078,24.137512513705367,23.417719712206985,23.604331970214844,257142000,AAPL
2015-01-06,23.668748555508177,23.866469332560232,23.244425333900452,23.606544494628906,263188400,AAPL
2015-01-07,23.815378963530524,24.037537355708736,23.70429976744142,23.93756675720215,160423600,AAPL
2015-01-08,24.26637245776407,24.915074837750936,24.148627035050126,24.85731315612793,237458000,AAPL
2015-01-09,25.03058821110751,25.1594404985909,24.48407871360307,24.88396453857422,214798000,AAPL
2015-01-12,25.015039596441564,25.02170407834321,24.170838555190564,24.270809173583984,198603200,AAPL
2015-01-13,24.755116764583843,25.059474458800445,24.195278202485493,24.486305236816406,268367600,AAPL
2015-01-14,24.224160638576148,24.54628975362334,24.104194857093386,24.393001556396484,195826400,AAPL
2015-01-15,24.43742857263256,24.450757536747712,23.695420191359318,23.73096466064453,240056000,AAPL
2015-01-16,23.777612852096432,23.899800647867,23.371062580642416,23.546567916870117,314053200,AAPL
2015-01-20,23.957571792694733,24.208611982099523,23.659880216682662,24.153072357177734,199599600,AAPL
2015-01-21,24.204157443782993,24.672911811933083,24.05308966122845,24.337453842163086,194303600,AAPL
2015-01-22,24.49518324201943,24.98615305419092,24.37521751446251,24.97060203552246,215185600,AAPL
2015-01-23,24.9483927989933,25.270521850097733,24.77732985576787,25.09946060180664,185859200,AAPL
2015-01-26,25.268300881851875,25.40603972695871,25.059473097577246,25.12611961364746,222460000,AAPL
2015-01-27,24.9750477120884,24.988378369065714,24.221930847834546,24.246368408203125,382274800,AAPL
2015-01-28,26.132499705095995,26.24135857362099,25.61709213256836,25.61709213256836,585908400,AAPL
2015-01-29,25.841473076509626,26.479068493461888,25.67263216529044,26.414642333984375,337745600,AAPL
2015-01-30,26.303554011345867,26.659007100363915,25.959207824992557,26.028078079223633,334982000,AAPL
2015-02-02,26.225798014997775,26.474614321324044,25.788145725562362,26.35464859008789,250956400,AAPL
2015-02-03,26.325770520611485,26.456843163643637,26.128049679300354,26.359094619750977,207662800,AAPL
2015-02-04,26.325772839941987,26.772311739909934,26.283562197650888,26.561260223388672,280598800,AAPL
2015-02-05,26.768678845410147,26.81551772589778,26.596942522907266,26.750837326049805,168984800,AAPL
2015-02-06,26.76868318201541,26.819982025247885,26.418517996195614,26.525575637817383,174826400,AAPL
2015-02-09,26.44082193108112,26.728535823049864,26.414057096227165,26.701772689819336,155559200,AAPL
2015-02-10,26.802135571878527,27.24374595062465,26.79990644538046,27.214750289916992,248034000,AAPL
2015-02-11,27.382030034194866,27.861556041891518,27.321811280495048,27.85263442993164,294247200,AAPL
2015-02-12,28.115816023320768,28.43252729217205,28.006529254667925,28.20503044128418,297898000,AAPL
2015-02-13,28.387917665522387,28.387917665522387,28.024370931794863,28.343311309814453,217088800,AAPL
2015-02-17,28.434758650170412,28.744779159785324,28.307628647624515,28.510591506958008,252609600,AAPL
2015-02-18,28.465983825128166,28.72247466222771,28.4258374184376,28.70909309387207,179566800,AAPL
2015-02-19,28.65556125181187,28.778231291214368,28.622107333450753,28.64887046813965,149449600,AAPL
2015-02-20,28.686784587541602,28.883056640625,28.559656300973938,28.883056640625,195793600,AAPL
2015-02-23,28.999040829173126,29.663684844970703,28.918748012259847,29.663684844970703,283896400,AAPL
2015-02-24,29.650297536470323,29.79750157285755,29.255524312794314,29.478559494018555,276912400,AAPL
2015-02-25,29.342511311876507,29.351434625982066,28.58196043861869,28.724702835083008,298846800,AAPL
2015-02-26,28.724696989094333,29.188610534000468,28.23848196995741,29.088245391845703,365150000,AAPL
2015-02-27,28.9945786223735,29.12171033143034,28.60203786003965,28.651105880737305,248059200,AAPL
2015-03-02,28.827297163536542,29.057023127860493,28.61541442209414,28.791610717773438,192386800,AAPL
2015-03-03,28.762616822721085,28.887515972542232,28.568573911948544,28.851829528808594,151265200,AAPL
2015-03-04,28.79384789282073,28.896442186882158,28.61988069571888,28.6689453125,126665200,AAPL
2015-03-05,28.677869930658407,28.715785510904464,28.048910657824322,28.193883895874023,226068400,AAPL
